fecha_viaje,estacion_origen,estacion_destino,servicio_asignado,sentido_viaje,tarifa_pagada,tipo_pasajero
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,La Paloma,Puerto Varas,22616,La Paloma - Llanquihue,1200,Normal
2026-01-31,La Paloma,Puerto Varas,22616,La Paloma - Llanquihue,1200,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,750,Adulto Mayor
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,3000,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,3000,Normal
2026-01-31,Llanquihue,Alerce,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,Llanquihue,Alerce,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,La Paloma,Puerto Varas,22616,La Paloma - Llanquihue,1200,Normal
2026-01-31,La Paloma,Puerto Varas,22616,La Paloma - Llanquihue,600,Adulto Mayor
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,600,Adulto Mayor
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,750,Adulto Mayor
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,750,Adulto Mayor
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,750,Adulto Mayor
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,0,Estudiante
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,0,Estudiante
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,Llanquihue,Alerce,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,La Paloma,Puerto Varas,22616,La Paloma - Llanquihue,1200,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,Llanquihue,Alerce,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Llanquihue,Alerce,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,0,Estudiante
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,750,Adulto Mayor
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,La Paloma,Puerto Varas,22616,La Paloma - Llanquihue,1200,Normal
2026-01-31,La Paloma,Puerto Varas,22616,La Paloma - Llanquihue,1200,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Puerto Varas,Alerce,22615,Llanquihue - La Paloma,1000,Normal
2026-01-31,La Paloma,Puerto Varas,22616,La Paloma - Llanquihue,400,Estudiante
2026-01-31,Puerto Varas,Alerce,22615,Llanquihue - La Paloma,1000,Normal
2026-01-31,Puerto Varas,Alerce,22615,Llanquihue - La Paloma,1000,Normal
2026-01-31,Puerto Varas,Alerce,22615,Llanquihue - La Paloma,1000,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,750,Adulto Mayor
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,750,Adulto Mayor
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,750,Adulto Mayor
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,750,Adulto Mayor
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,La Paloma,Puerto Varas,22616,La Paloma - Llanquihue,1200,Normal
2026-01-31,La Paloma,Puerto Varas,22616,La Paloma - Llanquihue,1200,Normal
2026-01-31,Puerto Varas,Alerce,22615,Llanquihue - La Paloma,1000,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,400,Estudiante
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,500,Estudiante
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,500,Estudiante
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,500,Estudiante
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,0,Estudiante
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,0,Estudiante
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,400,Estudiante
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,400,Estudiante
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,Alerce,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Llanquihue,Alerce,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,1500,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,400,Estudiante
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,3000,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Adulto Mayor
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Adulto Mayor
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,750,Adulto Mayor
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,2400,Normal
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,300,Adulto Mayor
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,Alerce,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,Alerce,22615,Llanquihue - La Paloma,400,Estudiante
2026-01-31,Llanquihue,Puerto Varas,22615,Llanquihue - La Paloma,600,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,500,Estudiante
2026-01-31,La Paloma,Llanquihue,22616,La Paloma - Llanquihue,500,Estudiante
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,0,Discapacitado
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,400,Estudiante
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,1500,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,0,Estudiante
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,0,Estudiante
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,0,Estudiante
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,0,Estudiante
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,400,Estudiante
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,0,Estudiante
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,1500,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,Alerce,22615,Llanquihue - La Paloma,1000,Normal
2026-01-31,Puerto Varas,Alerce,22615,Llanquihue - La Paloma,1000,Normal
2026-01-31,Puerto Varas,Alerce,22615,Llanquihue - La Paloma,1000,Normal
2026-01-31,Puerto Varas,Alerce,22615,Llanquihue - La Paloma,1000,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Puerto Varas,La Paloma,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,La Paloma,Puerto Varas,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,La Paloma,Puerto Varas,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,0,Estudiante
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,1500,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Alerce,Puerto Varas,22614,La Paloma - Llanquihue,1000,Normal
2026-01-31,Alerce,Puerto Varas,22614,La Paloma - Llanquihue,0,Estudiante
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,1500,Normal
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,400,Estudiante
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,400,Estudiante
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,750,Adulto Mayor
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,750,Adulto Mayor
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Adulto Mayor
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Adulto Mayor
2026-01-31,Llanquihue,Alerce,22615,Llanquihue - La Paloma,0,Estudiante
2026-01-31,Llanquihue,Alerce,22615,Llanquihue - La Paloma,0,Estudiante
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,1200,Adulto Mayor
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,500,Estudiante
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,2400,Normal
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,2400,Normal
2026-01-31,La Paloma,Puerto Varas,22614,La Paloma - Llanquihue,2400,Normal
2026-01-31,La Paloma,Puerto Varas,22614,La Paloma - Llanquihue,2400,Normal
2026-01-31,Llanquihue,Alerce,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,1500,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,3000,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,3000,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,1500,Adulto Mayor
2026-01-31,Alerce,Puerto Varas,22614,La Paloma - Llanquihue,1000,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,1500,Adulto Mayor
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,1500,Adulto Mayor
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,1500,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,1500,Normal
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,3000,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,1500,Adulto Mayor
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,400,Estudiante
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,0,Estudiante
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,0,Estudiante
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,3000,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,3000,Normal
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,400,Estudiante
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,0,Estudiante
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,0,Estudiante
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,0,Estudiante
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Llanquihue,Alerce,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Llanquihue,Alerce,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Llanquihue,Alerce,22615,Llanquihue - La Paloma,1200,Normal
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,3000,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,3000,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,3000,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,0,Estudiante
2026-01-31,Alerce,Llanquihue,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,La Paloma,Puerto Varas,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,La Paloma,Puerto Varas,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,La Paloma,Puerto Varas,22614,La Paloma - Llanquihue,1200,Normal
2026-01-31,La Paloma,Puerto Varas,22614,La Paloma - Llanquihue,400,Estudiante
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,200,Estudiante
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,200,Estudiante
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,0,Estudiante
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,3000,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,3000,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,0,Estudiante
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,Puerto Varas,Llanquihue,22614,La Paloma - Llanquihue,600,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,3000,Normal
2026-01-31,La Paloma,Llanquihue,22614,La Paloma - Llanquihue,3000,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,0,Estudiante
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,1500,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,500,Estudiante
2026-01-31,La Paloma,Puerto Varas,22614,La Paloma - Llanquihue,400,Estudiante
2026-01-31,La Paloma,Puerto Varas,22614,La Paloma - Llanquihue,400,Estudiante
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,0,Normal
2026-01-31,Llanquihue,La Paloma,22615,Llanquihue - La Paloma,0,Normal
